Producto,Descripcion,Presentacion,Precio,Costo,Forma de uso,Ingredientes,1er. Ingrediente principal,2.do Ingrediente principal,3er. Ingrediente principal,Recomendado para
MAHAL GUMMY BEARS SLEEP HEALTHY,disminuye la tension emovional mejora la calidad del sueño coadyuva en crisis de migraña y cefaleas en general,Frasco de 30 gomitas de 3g c/u Precio $999.00 Costo $499.50,999,499.5,Comer una gomita 30 minutos antes de dormir.,Agua purificada azucar glucosa grenetina L-Teanina extracto seco de semilla de griffonia simplicifolia (Griffonia simplicifolia) acido citrico sabor uva natural Acido malico eritritol(1.067 g/ 100 de producto) melatonina CBN MICOBEL-SR (sorbato de potasio) Acido sorbico extracto de fruto del monje (Luo Han Guo/Siraita grosvenorii) y colorante violeta (rojo FD&C3 y azul FD&1).,1.- L-Teanina : Apoya en efectos derivados de trastornos del sistema nervioso combate la migraña dolores de cabeza inquietud y angustia. , 2.- Griffoniasimplicifolia: Actua como neurotransmisor cuya mision principal es regular la calidad del sueño (cansancio ansiedad mal humor etc.) asi como en casos de insomnio y depresion. , 3.- CBN : Funciona como sedante antiemetico reduce el dolor es antibacteriano promueve el crecimiento de celulas oseas y estimula el apetito.,ALCOHOLISMO  DEPRESIoN  INSOMNIO  IRRITABILIDAD  MIGRAÑA  NERVIOSISMO  PARKINSON  VITILIGO
SMAN CAPS,Contiene una mezcla especial de plantas medicinales y gracias a su composicion unica y compleja apoya eficazmente en el aumento de la libido femenina. Mejora el ritmo sanguineo en el pene. Evita la eyaculacion precoz. Aumenta la vitalidad y energia. Contiene plantas afrodiciacas que son utilizadas desde nuestros ancestros como el ginseng coreano y el epimedium.,Bolsa con 3 tabletas. Precio $429.00 Costo $214.50,429,214.5,Tomar una tableta 1 hr antes de la actividad sexual.,Yin Yang Huo Muira puama No de chachorro Maca Cordyceps y Estearato de Magnesio. Vitamina B12 Vitamina C.,1.- Maca : Propiedades energizantes y nutritivas gracias a su contenido en proteinas carbohidratos calcio fosforo yodo hierro Vitamina B y Vitamina C. , 2.- Epimedium : Posee propiedades afrodisiacas empleadas para el tratamiento de la impotencia asi como para incrementar la libido o deseo sexual. , 3.- Mejora la energia y la resistencia .,FALTA DE ERECCIoN  IMPOTENCIA 
MY PRO-ST,Es e much autilidad en el tratamiento de desorden del tracto urinario masculino como infecciones (prostatitis ) o incontinencia. Por sus altas concentraciones en esteroles actua como agente antiinflamatorio para tratar el agrandamiento de prostata. Fortalece la uretra y otros componentes de las vias urinarias mejora el flujo de la orina eliminando la sensacion de malestar.,Frasco con 60 cApsulas  Precio $429.00 Costo $214.50,429,214.5,Tomar una capsula al dia,Semilla de calabaza Arandano Noni Goji Pinguica Doradilla Palo Azul Cola de caballo Taray Mangostan Pelos de elote Guasimo Buchu y Estearato de magnesio.,1.- Palo Azul : Tiene un gran efecto diuretico ademAs de que gracias a su contenido de Flavonoides evita la formacion de cristales urinarios. , 2.- Semilla de calabaz: Presenta diversas propiedades antiprostaticas como hipertrofia prostatica antiinflamatorio urinario. , 3.- Arandano : Es util para nuestra vista y previene enfermedades degenerativas de los ojos como cataratas. Tiene accion antiiflamatoria contribuye a prevenir enfermedades cardiovasculares.,GOTA PROSTATITIS  SISTITIS
BEGREEN,Excelente desinflamante elimina toxicinas mejora la circulacion contribuye a la aceleracion de la digestion cicatriza y reconstruye tejidos limpia el higado elimina el mal aliento incrementa los niveles de oxigeno en los huesos mejora la vista regula el PH.,Frasco con 1L ( unica presentacion ) Precio $599.00 Costo $299.50,599,299.5,Disolver 15ml en 250ml de agua antes del desayuno.,Alga espirulina Te verde Alfalfa Hierbabuena Menta Clorofila Estevia y Vitamina C.,1.- Alga espirulina: Provoca una sensacion de saciedad mantiene los niveles de azucar en la sangre ayuda a perder peso y mejorar la vision. , 2.- Clorofila: Su consumo frecuente aumenta la produccion de oxigeno en la sangre desintoxica y limpia los organos. , 3.- Hierbabuena: Previene el mal aliento estimula el sistema inmunologico incrementa los niveles de oxigeno en la sangre desinflama el estomago y ayuda en casos de diarrea.,ACIDEZ ESTOMACAL  AGRURAS  DIARREA  DIVERTiCULOS  GASTRITIS HALITOSIS  INDIGESTION  INFLAMACION 
MY RIURY,Desinflama las vias urinarias riñones vejiga y corrige su funcionamiento. Elimina sustancias toxicas de la sangre Acido urico y retencion de liquidos a traves de la orina. Evita infecciones vaginales.,Frasco con 60 cAps. Precio $429.00 Costo $214.50,429,214.5,Tomar una capsula al dia antes del desayuno.,Cola de caballo (Equisetum arvense). Guasimo (Guazuma ulmifolia) Estearato de magnesio Pelos de elote (Zea mays) Taray (Tamarix gallica) Palo azul (Haemotoxylum campechianum) y Cascara sagrada (Frangula purshiana).,1.- Cola de caballo: Puede ayudar a reducir la retencion de liquidos. , 2.- Palo azul: Se utiliza contra el Acido urico ayuda a prevenir los colicos en el riñon y el higado. , 3.- Taray: Posee propiedades antimicrobianas citotoxicas.,ACIDO URICO  CALCULOS RENALES  GOTA PROSTATITIS  SISTITIS
MY BELLY CAPS,Interviene en la reparacion de los tejidos fortalece la piel uñas quebradizas cabello debilitado con tendencia a caerse piel deshidratada o flacida. Evita el envejecimiento prematuro el colAgeno es necesario para un buen funcionamiento de los huesos tejidos cartilago ligamentos tendones y articulaciones.,Frasco con 60 cAps Precio $429.00 Costo $214.50,429,214.5,Tomar una cApsula por la mañana y otra por la noche.,ColAgeno hidrolizado Semilla de uva jalea Real Vitamica C Calcio Magnesio Potasio Biotina Vitamina K Selenio Vitamina D.,1.- Semilla de uva: Es un excelente antioxidante elimina las celulas muertas. Limpia y regenera la epidermis. , 2.- Biotina: Favorece principalmente el mantenimiento normal del cabello y ayuda a la salud de la piel. , 3.- ColAgeno hidrolizado: Proporciona estructura a la piel y fortalece los huesos.,ACNE  ARTRITIS  CAiDA DE CABELLO  CELULITIS  CIATICA  DEMENCIA SENIL  DOLOR DE ESPALDA  DOLOR DE RODILLA  FIBROMIALGIA  INFERTILIDAD FEMENINA  MENOPAUSIA  OSTEOMIELITIS  OSTEOPOROSIS  REUMATISMO  TRAUMATISMO 
MY BELLY-T,El te colAgeno es una proteina que aporta resistencia y elasticidad a nuestros tejidos. Es parte esencial de huesos cartilagos tendones y ligamentos. Nutre los tejidos tendones y ligamentos. Fija y absorbe mAs rapido el Calcio en huesos uñas piel y cabello.,Sobre con 350g Precio $589.00 Costo $294.50,589,294.5,Disolver 8g en 250ml de agua tomarlo por la mañana o por la noche.,ColAgeno hidrolizado semilla de uva Omega 3 6 9 Potasio Vitamina A C E Hierro Zinc y Biotina.,1.- Semilla de uva: Es un excelente antioxidante elimina las celulas muertas. Limpia y regenera la epidermis. , 2.- Biotina favorece: Principalmente el mantenimiento normal del cabello y ayuda a la salud de la piel. , 3.- ColAgeno hidrolizado : Proporciona estructura a la piel y fortalece los huesos.,ACNE  ARTRITIS  CAiDA DE CABELLO  CELULITIS  CIATICA  DEMENCIA SENIL  DOLOR DE ESPALDA  DOLOR DE RODILLA  FIBROMIALGIA  INFERTILIDAD FEMENINA  MENOPAUSIA  OSTEOMIELITIS  OSTEOPOROSIS  REUMATISMO  TRAUMATISMO 
MY LIDY FELL,Ayuda a controlar los desequilibrios hormonales que ocurren durante la menopausia cambios de humor sofocos bochornos alteraciones nerviosas trastorno del sueño resequedad vaginal infecciones vaginales falta de lubricacion irregularidad o dolor menstrual.,Frasco con 60 cAps Precio $429.00 Costo $214.50,429,214.5,Tomar una capsula por la mañana y otra por la noche.,Camote Silvestre (dios corea composita) Avena (avena sativa) Perejil (petroselinum crispum) Calcio Magnesio Vitamine E y Vitamina B1.,1.- Camote silvestre: Para tratar el sindrome pre-menstrual los calambres y la resequedad vaginal contrarresta la debilidad de los huesos. , 2.- Perejil: Evita contracciones de los intestinos que causan dolor como el retotijon o los colicos menstruales evita la retencion de liquidos y estimula la salida de los gases. , 3.- Ayuda a formar y mantener dientes y huesos sanos (tiamina).,AMENORREA  FIBROSIS  INFERTILIDAD FEMENINA  MENOPAUSIA  MIOMAS  QUISTES  TIROIDES 
MY SIR-Q,Mejora la circulacion coadyuva en problemas de varices hemorroides flebitis trombosis moretones hormigueo dolor de piernas entumecimiento. Mejora la flexibilidad y actua como regulador de la presion arterial.,Frasco con 60 cAps Precio $429.00 Costo $214.50,429,214.5,Tomar una cApsula por la mañana y otra por la noche.,Limon Semilla de chia Rusco Semilla de uva Lecitina de soya Cola de caballo Hamamelis y Chaya.,1.- Semilla de chia: Muy rica en Acidos grasos omega 3 un tipo de grasa poliinsaturada que fortalece las neuronas ayudandotambien a optimizar nuestra salud. , 2.- Cola de caballo: Puede ayudar a reducir la retencion de liquidos cardiovascular. , 3.- Semilla de uva: Es un excelente antioxidante elimina las celulas muertas. Limpia y regenera la epidermis.,ARRITMIA  ARTERIOESCLEROSIS  CALAMBRES  CARDIO VASCULAR  CATARATAS  CELULITIS  DIABETES  FLACIDEZ  GOLPES VARICES 
MY ST-MORY CAPS,Estimula el sistema nervioso central. Mejora la memoria da oxigenacion al cerebro ayuda a los neurotransmisores y conexiones del sistema nervioso estimulador neuronal. La falta de concentracion debilidad mental dolores de cabeza demencia senil estres insomnio y colitis nerviosa. Auxiliar en sistemas de migraña.,Frasco con 60 cAps Precio $429.00 Costo $214.50,429,214.5,Tomar una cApsula al dia antes del desayuno.,Calcio Vitamina B1 (tiamina) Zinc Vitamina B9 (Acido folico) Tila (Tilia cordata) Rhodiola (Rhodiola rosea) Albahaca (Ocimum basilicum) Ashwagandha.,1.- Ashwagandha: Puede ayudar a calmar el cerebro reducir la hinchazon disminuir la presion arterial y alterar el sistema inmunologico. , 2.- Rodiola: Ayuda a reducir la ansiedad. , 3.- Albahaca: Ayuda a combatir el estres reducir los dolores de cabeza mejora la salud respiratoria mejora la digestion y protege a los riñones.,ALZHAIMER  CARDIO VASCULAR  DEMENCIA SENIL  DOLOR DE CABEZA  EPILEPSIA  PARKINSON  VITILIGO
XUGO VRD,Por su alto contenido en fitonutrientes el jugo verde es coadyuvante en el proceso de digestion. Gracias a su riqueza en fibra soluble posee un efecto de saciedad y de reduccion de peso. Recomendado para el control de diabetes osteoporosis anticancerigeno antioxidante salud cardiaca y contra infecciones digestivas. Ademas ayuda a regular los niveles de colesterol y trigliceridos en la sangre.,Bolsa con 250g Precio $529.00 Costo $264.50,529,264.5,Verter una cuchara cafetera en 1 vaso con agua por la mañana y por la noche.,Brocoli Alfalfa Zanahoria Vitamina B Vitamina C Salvado de Trigo Pencas de Nopal en polvo Hojas y tallos de Perejil en polvo Hojas y tallos de Apio en polvo Acido Citrlco Semillas de Chia Piña en polvo Alga Espirulina Semilla de Linaza Molida Goma Xantana Ciruela deshidratada Dioxido de Silicio Extracto de hojas Te verde Limon en polvo. Kale Jengibre Manzana Verde Fosfato TricAlcio Estevia.,1.- Nopal: Su alto contenido en fibra y minerales actua como desinflainatorio al no tener alimentos que digerir absorbe los nutrientes y ayuda a contrarrestar el colesterol. , 2.- Manzana: Las propiedades de esta fruta son ideales para personas con problemas del corazon ya que carece de colesterol sodio y grasas saturadas. , 3.- Contiene vitamina A B1 B2 B6 C E y mAs de 10 minerales. Tiene una accion antioxidante cardioprotectora antibacteriana diuretica y digestiva.,CALCULOS BILIARES 
STEFIA ENDULZANTE,Es una planta dulce de la selva de Paraguay usada de forma medicinal para diabeticos o para endulzar comidas y bebidas. En su forma natural es de 200 a 300 veces mAs dulce que el azucar refinado no contiene sodio ni calorias ni carbohidratos. Es un edulcorante absolutamente sano con propiedades y beneficlos para nuestro cuerpo. Tiene efectos favorables en la absorcion de grasa beneficia la presion arterial con un suave efecto diuretico. Vasodilatador y cardiotonico ansiolitico natural baja los niveles de colesterol mejora la memoria la concentracion y el aprendizaje facilita la digestion.,Frasco con 20ml Precio $389.00 Costo $194.50,389,194.5,Añade 2 gotas para endulzar 250ml de agua. Utiliza 8 gotas para endulzar 2 Litros de agua.,Polvo verde orgAnico de este via pulverzada. 90% nivel de pureza y agua.,,,,SUSTITUTO DE AZUCAR
DG BRAN,Fibra auxiliar en la limpieza del organismo. Alivia el estreñimiento. Desinflama el abdomen. Ayuda a tratar la gastritis colitis y mala digestion. Es alto en omega 3. Mejora los niveles de colestterol. Auxiliar en problemas de obesidad y sobrepeso.,Bolsa con 450g Precio $389.00 Costo $194.50,389,194.5,Disolver 15g en 250 ml de agua fria o caliente tomarlo por la mañana o por la noche.,Semilla de sesamo (Sesamun indicum) toronja (Citrus Paradis) Linaza (Linum usitatissimum) Ciruela (Prunus domestica) Piña (Ananas comosus) Nopal ( Opuntia ficus-indica).,1.- Nopal: Tiene propiedades antioxidantes antiinflamatorias e incluso hipoglucemiantes Aumenta el HDL y protege de enfermedades cardiovasculares. , 2.- Piña: Contribuye a eliminar las toxinas atraves de la orina previene el estreñimiento y activa la absorcion de grasas. , 3.- Toronja: Ayuda a la prevencion del envejecimiento acelera el metabolismo reduce el colesterol y los trigliceridos ademas suaviza y reafirma la piel.,DIGESTION
AG COLOIDAL 500,Al intervenir en el proceso de respiracion celular combate microbios resistentes a los antibioticos. Esto es importante ya que la lista de este tipo de micro organismos aumenta todos los dias. Estimula la regeneracion de la piel y otros tejidos mejora la apariencia de psoriasis en la piel y eccema. Enfermedades causadas por infecciones bacterianas o virales como conjuntivitis aguda (inflamacion de la membrana que cubre el ojo y parte interna del pArpado). AdemAs de ser util en el tratamiento de infecciones virales como herpes zoster. Ayuda a combatir la sinusitis infecciosa. util en infecciones como resfriados o gripe neumonia etc. Puedes utilizarlo esencialmente para el cuidado de tu rostro como un desmaquillante ademAs de limpiarlo lo protege de los radicales libres. Puede ser util en infecciones de la piel como acne puntos negros o tambien en infecciones vaginales.,Frasco con 500ml,549,274.5,Aplicar directamente en la zona a tratar usar como desmaquillante o para limpiar la cara antes de dormir. En caso de bacteria interna tomar 2 cucharadas 3 veces al dia.,Iones de plata 15 ppm y agua destilada.,,,,ACNE  ALERGIA  AMIGDALITIS  BOCIO  CATARATAS  DERMATITIS  ECCEMAS Y HERPES FUEGOS LABIALES HALITOSIS  INFECCIONES  MANCHAS DEL SOL  MIOMAS  PAÑO  QUISTES  VIRUS
YANG,Ayuda a eliminar las molestias musculares. Proporciona una sensacion refrescante sin dejar la piel grasa. FAcil aplicacion y portabilidad. Esencia de alcoba. Mezcla de aceites esenciales para un efecto calmante. Para un masaje relajante y refrescante.,Frasco con 60ml,429,214.5,Cutaneo: Aplique directamente en el Area a tratar (pecho pies espalda brazos etc.). Desinfeccion aerobica: Rociar en Areas cerradas como sala habitacion baños y closets. Desodorante de alcoba: Rociar sobre la cama almohadas edredones etc.,Extracto de eucalipto mentol clavo en aceite alcanfor.,1.- Eucalipto: Ingrediente natural que estimula la produccion de lipidos protectores en la piel. , 2.- Mentol: Alivia la picazon y trata problemas de las vias respiratorias superiores actuando como un analgesico suave. , 3.- Alcanfor: Posee propiedades antibacterianas antisepticas y antiinflamatorias regenera tejido conectivo y favorece la cicatrizacion.,RELAJACION AROMATIZANTE
ADN VEGETAL CREMA,Los beneficios al aplicarla de forma externa a traves de las celulas madre retrasa los signos del envejecimiento del colAgeno y la elastina haciendo que la piel luzca firme densa y con aspecto renovado.,Frasco con 50ml,599,299.5,Se recomienda aplicar por la mañana y por la noche. Lavar la cara con jabon neutro aplicar la crema con dos yemas de los dedos y masajear la cara suavemente durante 3 minutos.,ADN Vegetal Q10 Vitamina E y colAgeno.,1.- Q10: Retarda el envejecimiento evita la acidez de la piel y protege de los radicales libres. , 2.- Vitamina E: Posee un gran poder antioxidante contribuyendo a la proteccion epidermica frente a la oxidacion. , 3.- ADN Vegetal: Aumenta la produccion de colAgeno y mejora la elasticidad haciendo que la piel luzca renovada.,ARRUCAS  MANCHAS DEL SOL  PAÑO 
SERUM VITAMINA C REPARA Y RESTAURA,Colocar de 5 a 10 gotas en la palma de la mano aplicar en la cara y en el cuello con las yemas de los dedos sobre la piel limpia y seca dando masajes circulares y evitando el conacto con los ojos. Despues aplicar tu crema de uso diario. Puede usarse de dia y noche. Recuerda usar protector solar.,Frasco con 30ml,799,399.5,Colocar de 5 a 10 gotas en la palma de la mano aplicar en la cara y en el cuello con las yemas de los dedos sobre la piel limpia y seca dando masajes circulares y evitando el contacto con los ojos. Despues aplicar la crema de uso diario. Puede usarse de dia y noche. Recuerda usar protector solar.,Terminalia ferdinandiana Fruit extract (como fuente de vitamina C) Acido hialuronico pantenol (provitamina V5) extracto de aloe vera alantoina extracto de hammamelis y vitamina E.,1.- Terminalia ferdinandiana: Te ayuda a lucir una piel sin manchas y uniforme. AdemAs hidrata ilumina y unifica sin dejar la piel grasa. , 2.- Aloe vera: Es antiseptico y antibacteriano util en quemaduras y otras afecciones de la piel. Sus propiedades antiinflamatorias y analgesicas alivian el dolor y la inflamacion. , 3.- Hammamelis: Se ha demostrado que tiene propiedades astringentes antiflogisticas y hemostAticas utiles en tratamientos topicos de lesiones superficiales eccemas y quemaduras.,REPARA Y RESTUARA LA PIEL DE LA CARA ELIMINA MANCHAS
REGENERADOR CELULAR SERUM,Es un suero con pH balanceado formulado para nutrir tu piel y combatir los 6 signos del envejecimiento: textura deshidratacion perdida de elasticidad lineas de expresion perdida de luminosidad y tono. Su formula concentrada se mezcla con ingredientes de origen vegetal ayudando a restaurar la complexion de tu piel hasta su textura mas joven y radiante. Para brindarle una nutricion optima a tu piel usalo como un serum protector de maquillaje y protector solar amasando la textura de tu piel.,Frasco con 40ml,599,299.5,Aplicar una pequeña cantidad con las yemas de los dedos sobre el rostro recien lavado dar un ligero masaje durante 3 minutos. Puedes usarlo de la misma manera que el maquillaje.,Extracto de mirtilo extracto de manzana elastina Acido hialuronico vitamma B3 pantenol vitamina C vitamina E ubiquinona L-Ergotioneina colAgeno extracto de alga aloe Vera y aceite de argAn.,1.- Aloe vera: Hace que tengamos una experiencia sensorial en la piel aclara y protege de los radicales libres. , 2.- Vitamina E: Posee un gran poder antioxidante contribuyendo a la proteccion epidemica facial. , 3.- Aceite de argAn: Reduce las arrugas con el uso regular actuando como un producto antienvejecimiento.,ARRUCAS  PAÑO 
MICROEXFOLIANTE CREAM CON MICROESFERAS DE COLAGEINA,Aplicar una pequeña cantidad en la palma de las manos del tamaño de una modena. Aplicar sobre el rostro recien lavado dando un masaje ligero en forma de circulos dejar secar y dar un ligero masaje durante 5 minutos.,Frasco con 60ml,319,159.5,Aplicar una pequeña cantidad en la palma de la mano masajear sobre el rostro en forma circular dejar secar y luego masajear durante 5 minutos.,Microesferas de colageno elAstica y aceite de almendras.,1.- Colageno: Acelera el crecimiento de uñas y cabello regenera las celulas muertas de la epidermis mejora la firmeza de la piel y ayuda a cicatrizar. , 2.- Elastina: Mantiene la piel firme y recupera la elasticidad eliminando la mala circulacion previene arrugas e hidrata la piel naturalmente. , 3.- Aceite de almendras: Hidrata la piel evitando que aparezcan arrugas. Es un excelente relajante y limpiador de nuestra piel.,EXFOLIANTE RESTAURADOR DE LA PIEL DE LA CARA
BOTOX + ACIDO HIALURONICO CREAM,Aporta elasticidad a nuestra dermis reconstruye las fibras del tejido adiposo tiene propiedades que ayudan a mantener la piel suave firme flexible e hidratada nutriendola eliminando las arrugas y flacidez del rostro.,Frasco con 120gr,429,214.5,Se recomienda aplicar una pequeña cantidad sobre el rostro dos veces al dia con la cara limpia.,Clostridium botolinum Acido Hialuronico elastina colageno aceite de oliva aceite de semilla de uva.,1.- Aceite Hialuronico: Se usa para hidratar la piel rellenar surcos arrugas y dar firmeza al rostro. , 2.- Clostridium botolinum: EstA toxina protege la dermis haciendola mAs resistente a los cambios que trae la edad. AdemAs es un hidratante y regenerador. , 3.-,RESTAURADOR DE LA PIEL DE LA CARA
BABA DE CARACOL,La Baba de caracol actua directamente en nuestros tejidos y consigue que la piel cicatrice mAs rapido tambien ayuda a la aclaracion de manchas causadas por el sol. Junto con la rosa mosqueta son una fuente rica de antioxidantes que favorece a la piel regeneran dolar y eliminando celulas muertas puntos negros espinillas etc. AdemAs retrasa los signos de envejecimiento flacidez de los tejidos celulares y estrias.,Frasco con 120gr,429,214.5,Aplicar sobre el rostro despues de tu rutina facial.,Baba de caracol rosa mosqueta semilla de uva vitamina E aceite de almendras y elastina.,1.- Baba de caracol: Hidratante natural cicatrizante elimina celulas muertas que ocasionan el envejecimiento prematuro. , 2.- Rosa mosqueta: Combate los efectos del fotoenvejecimiento reduce estrias manchas de la piel y elimina las arrugas. , 3.- Aceite de almendras: Hidrata la piel evitando que aparezcan arrugas. Es un excelente relajante y limpiador de nuestra piel.,ACNE 
COLAGENO + ELASTINA CREAM,El paso del tiempo y las agresiones del exterior hacen que nuestra piel no se encuentre en perfectas condiciones. Normalmente aparecen arrugas que acentuan nuestra edad y en muchos casos nos avejentan aun mas. Este proceso se produce principalmente por una perdida de elasticidad en la piel causada por el descenso del colAgeno. AdemAs de aparecer en nuestro rostro pequeñas arrugas que con el paso del tiempo irAn en aumento tambien disminuye el relleno facial en labios parpados y pomulos ya que el colAgeno es imprescindible para dar estructura y firmeza a la piel.,Frasco con 120gr,429,214.5,Aplicar sobre el rostro despues de tu rutina facial.,Colageno elastina vitamina E aceite de almendras aceite de semilla de uva jalea real y vitamina C.,1.- Colageno: Acelera el crecimiento de uñas y cabello regenera celulas muertas de la epidermis mejora la firmeza de la piel y ayuda a cicatrizar. , 2.- Elastina: Mantiene la piel firme y recupera la elasticidad eliminando la mala circulacion. Previene arrugas e hidrata la piel naturalmente. , 3.- Vitamina E: Tiene un gran poder antioxidante contribuyendo a la proteccion epidermica frente a la oxidacion.,MEJORA LA ESLASTICIDAD DE LA PIEL DE LA CARA
JALAEA REAL CREAM + VITAMINA E,La jalea real es rica en lipidos y vitaminas por lo que tiene la capacidad de mantener la hidratacion de la piel dejAndola mAs suave y elAstica. AdemAs tiene propiedades antioxidantes y regeneradoras que la hacen ideal para tratamientos antiedad y de envejecimiento de la piel. Es coadyuvante en la eliminacion de manchas en la piel causadas por muerte celular manchas causadas por el sol y por intoxicacion. Ayuda a reducir las manchas causadas por paño.,Frasco con 120gr,429,214.5,Aplicar sobre el rostro despues de tu rutina facial.,Colageno elastina vitamina E miel placenta aceite de semilla de uva jalea real y vitamina C.,1.- Jalea real: Fuente de vitaminas del grupo B tales como la tiamina (B1) riboflavina (B2) niacina (B3) Acido pantotenico (B5) piridoxina (B6) inositol y Acido folico vitaminas implicadas en numerosos procesos metabolicos del organismo. , 2.- Miel: Equilibra la produccion de grasa y aclara el tono de la piel tambien limpia profundamente. Es calmante antiinflamatorio y combate el acne. , 3.- Placenta: Estimula la produccion de colageno natural. Aumenta la elasticidad de la piel y tiene efecto reductor en las arrugas.,MEJORA LA PIEL DE LA CARA
MAHAL BODY CREAM,Crema hidratante enriquecida con aceite de lavanda. Aceites esenciales relajantes para envolver el cuerpo en un velo de suavidad y ofrecerle un momento de relajacion. Su esencia calmante es 100% natural y su textura ultrasensorial. Mejora la circulacion de las piernas previniendo las varices celulitis y la piel de naranja. Disminuye dolores musculares y la rigidez muscular durante el ejercicio problemas de colicos menstruales o sensibilidad por menopausia golpes o moretones.,Envase con 300gr,429,214.5,Apliquese directamente en el Area a tratar en forma de masaje suave despues del baño o antes de dormir.,Extracto de hierbas pirul romero albahaca arnica ajo eucalipto jengibre sabila esencia de lavanda aceite esencial de clavo aceite esencial de tomillo agua aceite mineral Acido astatico monoesterato de gilcerido alcanfor eter saliciato de metilo solucion A solucion D tween 80 carpool y mentol.,1.- Extracto de lavanda: Antiseptico natural antiinflamatorio relajante elimina tension en los musculos estres y dolores de cabeza. , 2.- Extracto de eucalipto: Actua sobre articulaciones reduce el dolor y mejora la circulacion. , 3.- Arnica: Remedio natural para luxaciones golpes traumatismos y torceduras con efecto sedante y relajante.,CALAMBRES  CELULITIS  CIATICA  DOLOR DE ESPALDA  DOLOR DE RODILLA  FIBROMIALGIA  FLACIDEZ  GOLPES VARICES 
